top 10 cumulative:
Fri Feb 10 20:10:46 2012    unsigned_interface_0.profile
        1    0.000    0.000    0.000    0.000 handlers.py:820(SMTPHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:85(RotatingFileHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:897(NTEventLogHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:997(HTTPHandler)
        1    0.003    0.003    0.003    0.003 hashlib.py:55(<module>)
        6    0.000    0.000    0.001    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.007    0.007    0.009    0.009 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 interface_cfg.py:6(<module>)
        1    0.021    0.021  106.684  106.684 interface_unsigned.py:1(<module>)
     2569    1.130    0.000   77.422    0.030 interface_unsigned.py:101(makeDefaultContent)
     2568    1.287    0.001   91.891    0.036 interface_unsigned.py:120(upcall)
        1    0.000    0.000    0.000    0.000 interface_unsigned.py:26(controller)
     2568    0.520    0.000    1.190    0.000 interface_unsigned.py:263(parseAndSendToLight_Unsigned)
        1    0.002    0.002    0.010    0.010 interface_unsigned.py:28(__init__)
        1    0.001    0.001    0.002    0.002 interface_unsigned.py:55(loadConfigFile)
        1    0.000    0.000    0.002    0.002 interface_unsigned.py:61(initLog)
        1    0.000    0.000    0.002    0.002 interface_unsigned.py:70(getApplicationKey)
        1    0.002    0.002  106.332  106.332 interface_unsigned.py:81(start)
        1    0.001    0.001  106.328  106.328 interface_unsigned.py:93(listen)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.001    0.001    0.002    0.002 os.py:35(_get_exports_list)
        1    0.000    0.000    0.001    0.001 os.py:743(urandom)
     2571    0.092    0.000    0.141    0.000 posixpath.py:110(basename)
     2572    0.012    0.000    0.012    0.000 posixpath.py:43(normcase)
     2571    0.069    0.000    0.278    0.000 posixpath.py:95(splitext)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.008    0.008    0.014    0.014 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:653(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:803(SystemRandom)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        4    0.000    0.000    0.007    0.002 re.py:188(compile)
        4    0.000    0.000    0.007    0.002 re.py:228(_compile)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
        2    0.001    0.000    0.001    0.000 socket.py:185(__init__)
     2573    0.104    0.000    0.690    0.000 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.006    0.006    0.009    0.009 socket.py:45(<module>)
        2    0.001    0.000    0.001    0.001 sre_compile.py:32(_compile)
        2    0.001    0.000    0.001    0.001 sre_compile.py:361(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        2    0.000    0.000    0.002    0.001 sre_compile.py:480(_code)
        2    0.000    0.000    0.007    0.003 sre_compile.py:495(compile)
       22    0.000    0.000    0.001    0.000 sre_parse.py:138(append)
        2    0.000    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       28    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
        2    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       26    0.001    0.000    0.001    0.000 sre_parse.py:201(get)
        2    0.000    0.000    0.003    0.002 sre_parse.py:301(_parse_sub)
        2    0.001    0.001    0.003    0.002 sre_parse.py:379(_parse)
        2    0.000    0.000    0.004    0.002 sre_parse.py:663(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.044    0.044    0.065    0.065 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:94(SSLSocket)
        1    0.004    0.004    0.006    0.006 threading.py:1(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:101(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:104(_RLock)
        2    0.000    0.000    0.000    0.000 threading.py:106(__init__)
     2574    0.195    0.000    0.285    0.000 threading.py:121(acquire)
     2574    0.438    0.000    0.580    0.000 threading.py:141(release)
        2    0.000    0.000    0.001    0.000 threading.py:181(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:184(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:186(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:226(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:277(notify)
        1    0.000    0.000    0.000    0.000 threading.py:295(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:304(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:352(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:364(Event)
        1    0.000    0.000    0.000    0.000 threading.py:367(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:371(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:385(set)
        1    0.000    0.000    0.000    0.000 threading.py:424(Thread)
        1    0.000    0.000    0.001    0.001 threading.py:436(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:531(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:56(_Verbose)
        6    0.000    0.000    0.000    0.000 threading.py:58(__init__)
     5149    0.061    0.000    0.061    0.000 threading.py:63(_note)
     2571    0.047    0.000    0.047    0.000 threading.py:682(name)
        1    0.000    0.000    0.000    0.000 threading.py:733(_Timer)
        1    0.000    0.000    0.000    0.000 threading.py:762(_MainThread)
        1    0.000    0.000    0.001    0.001 threading.py:764(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:771(_set_daemon)
