top 10 cumulative:
Thu Oct 27 15:33:46 2011    sequencer.profile
       13    0.000    0.000    0.000    0.000 connection.py:63(_closed)
        1    0.000    0.000    0.000    0.000 connection.py:637(disconnect)
       56    0.000    0.000    0.000    0.000 connection.py:703(__check_bson_size)
      112    0.000    0.000    0.086    0.001 connection.py:755(__receive_data_on_socket)
       56    0.000    0.000    0.086    0.002 connection.py:769(__receive_message_on_socket)
       56    0.000    0.000    0.088    0.002 connection.py:783(__send_and_receive)
       56    0.000    0.000    0.089    0.002 connection.py:792(_send_message_with_response)
        1    0.000    0.000    0.000    0.000 connection.py:824(end_request)
        2    0.000    0.000    0.001    0.000 connection.py:857(__getattr__)
        1    0.000    0.000    0.000    0.000 connection.py:868(__getitem__)
        1    0.000    0.000    0.000    0.000 connection.py:87(_Pool)
    29511    0.038    0.000    0.038    0.000 copy.py:113(_copy_with_constructor)
    29511    0.043    0.000    0.091    0.000 copy.py:66(copy)
       81    0.000    0.000    0.000    0.000 cursor.py:136(__del__)
        1    0.000    0.000    0.000    0.000 cursor.py:15(<module>)
       14    0.000    0.000    0.000    0.000 cursor.py:157(clone)
       56    0.000    0.000    0.000    0.000 cursor.py:195(__query_spec)
       56    0.000    0.000    0.000    0.000 cursor.py:213(__query_options)
       84    0.000    0.000    0.000    0.000 cursor.py:229(__check_okay_to_chain)
       56    0.000    0.000    0.000    0.000 cursor.py:261(limit)
       14    0.000    0.000    0.000    0.000 cursor.py:306(skip)
       14    0.000    0.000    0.053    0.004 cursor.py:323(__getitem__)
        1    0.000    0.000    0.000    0.000 cursor.py:37(Cursor)
       83    0.001    0.000    0.001    0.000 cursor.py:41(__init__)
       41    0.000    0.000    0.045    0.001 cursor.py:433(count)
       56    0.001    0.000    0.093    0.002 cursor.py:565(__send_message)
       56    0.000    0.000    0.094    0.002 cursor.py:603(_refresh)
       56    0.000    0.000    0.000    0.000 cursor.py:648(__iter__)
       56    0.000    0.000    0.095    0.002 cursor.py:651(next)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:19(<module>)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:24(CursorManager)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:30(__init__)
        1    0.000    0.000    0.000    0.000 cursor_manager.py:52(BatchCursorManager)
        1    0.000    0.000    0.020    0.020 database.py:1(<module>)
      264    0.000    0.000    0.000    0.000 database.py:112(connection)
       43    0.000    0.000    0.000    0.000 database.py:122(name)
        1    0.000    0.000    0.001    0.001 database.py:15(<module>)
       43    0.000    0.000    0.001    0.000 database.py:180(__getattr__)
       43    0.000    0.000    0.001    0.000 database.py:190(__getitem__)
       56    0.000    0.000    0.000    0.000 database.py:254(_fix_outgoing)
       42    0.001    0.000    0.047    0.001 database.py:267(command)
        2    0.000    0.000    0.000    0.000 database.py:30(_check_name)
        1    0.000    0.000    0.000    0.000 database.py:42(Database)
        2    0.000    0.000    0.001    0.000 database.py:46(__init__)
        1    0.000    0.000    0.000    0.000 database.py:685(SystemJS)
