top 10 cumulative:
Thu Oct 27 15:33:46 2011    control.profile
        1    0.000    0.000    0.000    0.000 {math.sqrt}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
    29602    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    29514    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
    14755    0.004    0.000    0.004    0.000 {method 'has_key' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    14756    0.016    0.000    0.016    0.000 {method 'lstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {open}
       21    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.close}
        1    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 {posix.read}
    14755    0.588    0.000    0.807    0.000 {pyccn._pyccn.KeyLocator_obj_from_ccn}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.KeyLocator_to_ccn}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.PEM_read_key}
    14756    0.087    0.000    0.087    0.000 {pyccn._pyccn.SignedInfo_to_ccn}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.connect}
    29512    0.010    0.000    0.010    0.000 {pyccn._pyccn.content_to_bytes}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.create}
    14756   19.202    0.001   19.211    0.001 {pyccn._pyccn.encode_ContentObject}
    29513    0.010    0.000    0.010    0.000 {pyccn._pyccn.is_upcall_executing}
        3    0.000    0.000    0.000    0.000 {pyccn._pyccn.name_comps_from_ccn}
    29511    0.184    0.000    0.184    0.000 {pyccn._pyccn.name_comps_to_ccn}
        3    0.000    0.000    0.000    0.000 {pyccn._pyccn.name_from_uri}
    29511    1.573    0.000    1.573    0.000 {pyccn._pyccn.name_to_uri}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_new_state}
    14755    0.349    0.000    0.349    0.000 {pyccn._pyccn.nc_verify_command}
    14755    0.033    0.000    0.033    0.000 {pyccn._pyccn.new_charbuf}
    14755    0.165    0.000    0.181    0.000 {pyccn._pyccn.put}
        1   33.107   33.107   60.001   60.001 {pyccn._pyccn.run}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_interest_filter}
        1    0.000    0.000    0.000    0.000 {range}
       20    0.000    0.000    0.000    0.000 {setattr}
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {thread.get_ident}
    14756    0.009    0.000    0.009    0.000 {time.time}


overall by name:
Thu Oct 27 15:33:46 2011    control.profile

         3217610 function calls (2287993 primitive calls) in 60.016 seconds

   Ordered by: function name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
    14756    0.029    0.000    0.029    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
      256    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 {function seed at 0x10057f938}
       28    0.000    0.000    0.000    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
    29527    0.030    0.000    0.030    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 {issubclass}
       78    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
    29602    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    29514    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
    14755    0.004    0.000    0.004    0.000 {method 'has_key' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    14756    0.016    0.000    0.016    0.000 {method 'lstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {min}
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 _threading_local.py:134(<module>)
        1    0.001    0.001    0.002    0.002 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 <string>:1(<module>)
        1    0.001    0.001    0.001    0.001 dummy_threading.py:8(<module>)
        1    0.000    0.000    0.000    0.000 cProfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.001    0.001   60.017   60.017 controller.py:1(<module>)
        1    0.000    0.000    0.000    0.000 controller_cfg.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:7(<module>)
        1    0.000    0.000    0.001    0.001 ContentObject.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.001    0.001    0.002    0.002 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 Interest.py:17(<module>)
        1    0.000    0.000    0.001    0.001 socket.py:45(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.002    0.002 Name.py:8(<module>)
        1    0.000    0.000    0.000    0.000 Closure.py:9(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Key.py:9(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        1    0.002    0.002    0.006    0.006 CCN.py:8(<module>)
        1    0.000    0.000    0.000    0.000 {open}
       21    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.close}
        1    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 {posix.read}
    14755    0.588    0.000    0.807    0.000 {pyccn._pyccn.KeyLocator_obj_from_ccn}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.KeyLocator_to_ccn}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.PEM_read_key}
    14756    0.087    0.000    0.087    0.000 {pyccn._pyccn.SignedInfo_to_ccn}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.connect}
    29512    0.010    0.000    0.010    0.000 {pyccn._pyccn.content_to_bytes}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.create}
    14756   19.202    0.001   19.211    0.001 {pyccn._pyccn.encode_ContentObject}
    29513    0.010    0.000    0.010    0.000 {pyccn._pyccn.is_upcall_executing}
        3    0.000    0.000    0.000    0.000 {pyccn._pyccn.name_comps_from_ccn}
    29511    0.184    0.000    0.184    0.000 {pyccn._pyccn.name_comps_to_ccn}
        3    0.000    0.000    0.000    0.000 {pyccn._pyccn.name_from_uri}
    29511    1.573    0.000    1.573    0.000 {pyccn._pyccn.name_to_uri}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_new_state}
    14755    0.349    0.000    0.349    0.000 {pyccn._pyccn.nc_verify_command}
    14755    0.033    0.000    0.033    0.000 {pyccn._pyccn.new_charbuf}
    14755    0.165    0.000    0.181    0.000 {pyccn._pyccn.put}
        1   33.107   33.107   60.001   60.001 {pyccn._pyccn.run}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_interest_filter}
        1    0.000    0.000    0.000    0.000 {range}
       20    0.000    0.000    0.000    0.000 {setattr}
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {thread.get_ident}
    14756    0.009    0.000    0.009    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 CCN.py:16(CCN)
        1    0.000    0.000    0.000    0.000 Closure.py:26(Closure)
        2    0.000    0.000    0.000    0.000 threading.py:181(Condition)
        1    0.000    0.000    0.000    0.000 ContentObject.py:22(ContentObject)
        1    0.000    0.000    0.000    0.000 ContentObject.py:159(ContentType)
        1    0.000    0.000    0.000    0.000 collections.py:355(Counter)
        1    0.000    0.000    0.000    0.000 threading.py:364(Event)
        1    0.000    0.000    0.000    0.000 CCN.py:105(EventLoop)
        1    0.000    0.000    0.000    0.000 Interest.py:88(ExclusionFilter)
        1    0.000    0.000    0.000    0.000 Interest.py:20(Interest)
        1    0.000    0.000    0.000    0.000 Key.py:12(Key)
