top 10 cumulative:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: cumulative time
   List reduced from 323 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021  135.627  135.627 interface_symm.py:1(<module>)
        1    0.001    0.001  135.266  135.266 interface_symm.py:100(listen)
     2612    1.264    0.000   84.589    0.032 interface_symm.py:109(makeDefaultContent)
     2611    2.637    0.001  125.314    0.048 interface_symm.py:128(upcall)
     2611    0.923    0.000    4.950    0.002 interface_symm.py:233(parseAndSendToLight)
        1    0.000    0.000    0.000    0.000 interface_symm.py:26(controller)
        1    0.000    0.000    0.011    0.011 interface_symm.py:28(__init__)
     2610    0.258    0.000    3.006    0.001 interface_symm.py:299(sendData)
     2611    0.189    0.000    0.189    0.000 interface_symm.py:303(getDMXFromName)
     2611    0.120    0.000    0.120    0.000 interface_symm.py:313(getUDPFromName)
        1    0.001    0.001    0.002    0.002 interface_symm.py:58(loadConfigFile)
        1    0.000    0.000    0.003    0.003 interface_symm.py:64(initLog)
        1    0.002    0.002    0.004    0.004 interface_symm.py:77(getApplicationKey)
        1    0.002    0.002  135.271  135.271 interface_symm.py:88(start)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.001    0.001    0.002    0.002 os.py:35(_get_exports_list)
        1    0.000    0.000    0.001    0.001 os.py:743(urandom)
     5228    0.167    0.000    0.273    0.000 posixpath.py:110(basename)
     5229    0.027    0.000    0.027    0.000 posixpath.py:43(normcase)
     5228    0.143    0.000    0.551    0.000 posixpath.py:95(splitext)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.009    0.009    0.014    0.014 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:653(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:803(SystemRandom)
